code,cx,cy,areaName,VeryBadHealth,BadHealth,FairHealth,GoodHealth,VeryGoodHealth,H>15,H16_30,H31_48,H<49
E07000207,512058.01178368554,163236.63561298704,Elmbridge,0.7,2.2,9.0,30.4,57.7,7819,11146,36120,11897
E07000208,521190.7252259537,161461.98107037463,Epsom and Ewell,0.7,2.5,10.3,33.3,53.2,4291,6929,23623,5066
E07000209,500445.22952272766,150849.46785800596,Guildford,0.8,2.6,9.9,33.0,53.8,8478,11683,39744,9869
E07000210,517049.0276916093,147211.9213805964,Mole Valley,0.7,2.5,9.7,32.3,54.8,5437,7692,23132,6080
E07000211,526284.2533161874,152005.68881782182,Reigate and Banstead,0.8,2.7,10.7,33.2,52.6,8043,13015,44451,9618
E07000212,501615.65722116653,167042.86960813776,Runnymede,0.8,2.9,11.0,34.1,51.2,5215,7107,24677,5458
E07000213,506651.1442230441,170604.49866881908,Spelthorne,0.9,3.0,11.5,34.8,49.8,4992,8722,32083,5742
E07000214,492650.3756211344,161317.91954189658,Surrey Heath,0.7,2.4,10.0,32.9,54.1,4659,7725,27139,5840
E07000215,536710.6322579664,149340.12589406423,Tandridge,0.8,2.8,10.6,33.1,52.7,4896,7593,23964,6122
E07000216,495677.03566059686,139876.96715849507,Waverley,0.6,2.3,9.5,32.3,55.3,7740,11152,32672,9158
E07000217,500425.7367271,158247.61079809075,Woking,0.8,2.9,10.8,33.9,51.7,5531,8792,31711,6708
E07000218,425348.4991597722,294421.8381987358,North Warwickshire,1.2,4.1,13.3,34.4,47.0,2913,5913,19336,3592
E07000219,435701.9109609242,289376.32684159,Nuneaton and Bedworth,1.4,4.6,14.7,35.8,43.5,5095,11966,40460,5593
E07000220,445825.4930289984,276475.3587959118,Rugby,0.9,3.5,12.4,35.4,47.8,4994,9547,36959,6606
E07000221,425911.8410538533,253436.60179084,Stratford-on-Avon,0.8,2.8,10.6,33.3,52.5,7823,12446,36968,8999
E07000222,428511.9317374696,268091.9253200815,Warwick,0.8,3.0,11.1,33.5,51.6,7788,12597,44328,8035
E07000223,519856.0630568579,106295.75616155156,Adur,1.1,4.0,13.1,34.8,47.0,3437,6764,16875,2749
E07000224,500918.79330224654,105535.95367343252,Arun,0.9,3.6,12.7,35.9,46.9,9099,15675,40561,7856
E07000225,488435.263111344,116058.07979128434,Chichester,0.8,2.9,10.7,33.3,52.3,7926,11612,29448,7379
E07000226,527312.3208600703,137822.3488735415,Crawley,1.2,4.0,13.5,36.0,45.4,6322,11132,36266,5179
E07000227,514695.77099981887,122818.0474411281,Horsham,0.7,2.5,10.2,33.6,52.9,9144,13681,40356,8986
E07000228,531425.2912740624,126221.5800928614,Mid Sussex,0.7,2.6,10.2,33.3,53.2,8973,14525,43860,9214
E07000229,513044.9033833223,104469.82249530838,Worthing,1.1,3.8,13.0,35.5,46.7,6050,11417,31338,4752
E07000234,398961.4188913407,273790.0115503344,Bromsgrove,0.9,3.0,10.9,32.9,52.2,4780,9234,27520,5753
E07000235,376452.48570514447,253906.5149332112,Malvern Hills,0.9,3.3,11.7,33.8,50.3,4397,7757,19218,4428
E07000236,403422.816241199,264900.04029078246,Redditch,1.2,4.3,13.7,35.6,45.3,3675,7887,27280,3850
E07000237,385681.01229709666,255359.80763848405,Worcester,1.1,3.9,13.2,35.5,46.2,5101,10355,31303,4869
E07000238,396610.46649564645,251841.40609671688,Wychavon,0.9,3.3,11.6,34.2,50.0,6891,12156,36385,8228
E07000239,381333.80206155626,275770.4021857618,Wyre Forest,1.3,4.3,13.5,35.3,45.6,4465,9833,26608,4883
